area_id,year,sex,age_group,population
GMB,2001,male,Y045_049,19294.624998260486
GMB,2001,male,Y050_054,15732.283266143868
GMB,2001,male,Y055_059,13758.39576445884
GMB,2001,male,Y060_064,11063.873623497322
GMB,2001,male,Y065_069,8849.441314567423
GMB,2001,male,Y070_074,6668.842385689962
GMB,2001,male,Y075_079,4566.268396720577
GMB,2001,male,Y080_999,4021.4640786527816
GMB,2002,female,Y000_004,137036.35149412495
GMB,2002,female,Y005_009,113349.05915843222
GMB,2002,female,Y010_014,96132.9723997471
GMB,2002,female,Y015_019,82124.4693902548
GMB,2002,female,Y020_024,70755.65531389017
GMB,2002,female,Y025_029,60946.354345749525
GMB,2002,female,Y030_034,51271.402494874535
GMB,2002,female,Y035_039,40742.53428460997
GMB,2002,female,Y040_044,29675.099987297086
GMB,2002,female,Y045_049,20499.79375470934
GMB,2002,female,Y050_054,15626.424652460575
GMB,2002,female,Y055_059,13771.314030047562
GMB,2002,female,Y060_064,11847.153121153446
GMB,2002,female,Y065_069,9725.01692709761
GMB,2002,female,Y070_074,7571.304276695775
GMB,2002,female,Y075_079,5346.964858663353
GMB,2002,female,Y080_999,5193.9111947556175
GMB,2002,male,Y000_004,139900.36193324323
GMB,2002,male,Y005_009,114697.52016938197
GMB,2002,male,Y010_014,95937.31545765862
GMB,2002,male,Y015_019,79999.43990831375
GMB,2002,male,Y020_024,66956.99161040557
GMB,2002,male,Y025_029,56038.206065826926
GMB,2002,male,Y030_034,46379.28462993272
GMB,2002,male,Y035_039,37294.59262213415
GMB,2002,male,Y040_044,28188.945077371154
GMB,2002,male,Y045_049,20279.036595680314
GMB,2002,male,Y050_054,15924.896201659407
GMB,2002,male,Y055_059,13763.79364585755
GMB,2002,male,Y060_064,11293.412635549375
GMB,2002,male,Y065_069,8899.160406815066
GMB,2002,male,Y070_074,6711.961781644276
GMB,2002,male,Y075_079,4583.602345765917
GMB,2002,male,Y080_999,4037.9958391747
GMB,2003,female,Y000_004,140929.89471357877
GMB,2003,female,Y005_009,116398.90870694089
GMB,2003,female,Y010_014,98967.57805883703
GMB,2003,female,Y015_019,84759.83943253336
GMB,2003,female,Y020_024,72850.47162849327
GMB,2003,female,Y025_029,62471.422612098155
GMB,2003,female,Y030_034,52634.06475509958
GMB,2003,female,Y035_039,42262.295172208214
GMB,2003,female,Y040_044,31342.909220125497
GMB,2003,female,Y045_049,21705.25437104859
GMB,2003,female,Y050_054,15936.105381648395
GMB,2003,female,Y055_059,13735.114280837222
GMB,2003,female,Y060_064,12097.443709417186
GMB,2003,female,Y065_069,9816.808825698574
GMB,2003,female,Y070_074,7668.288564059369
GMB,2003,female,Y075_079,5404.358316135208
GMB,2003,female,Y080_999,5251.304263257298
GMB,2003,male,Y000_004,143893.1992585254
GMB,2003,male,Y005_009,117929.4240453052
GMB,2003,male,Y010_014,98956.21678292581
GMB,2003,male,Y015_019,82701.65689388082
GMB,2003,male,Y020_024,69050.20751083884
GMB,2003,male,Y025_029,57543.34848285643
GMB,2003,male,Y030_034,47591.87675299857
GMB,2003,male,Y035_039,38490.002358895785
GMB,2003,male,Y040_044,29541.373248071188
GMB,2003,male,Y045_049,21313.6728641275
GMB,2003,male,Y050_054,16119.86732907248
GMB,2003,male,Y055_059,13769.193645026655
GMB,2003,male,Y060_064,11527.713827634083
GMB,2003,male,Y065_069,8949.15883738998
GMB,2003,male,Y070_074,6755.359978955709
GMB,2003,male,Y075_079,4601.002095978285
GMB,2003,male,Y080_999,4054.595559797867
GMB,2004,female,Y000_004,144934.06316959576
GMB,2004,female,Y005_009,119530.81965355574
GMB,2004,female,Y010_014,101885.7657506259
GMB,2004,female,Y015_019,87479.77836531789
GMB,2004,female,Y020_024,75007.30779680925
GMB,2004,female,Y025_029,64034.65285289122
GMB,2004,female,Y030_034,54032.94308013048
GMB,2004,female,Y035_039,43838.7455415982
GMB,2004,female,Y040_044,33104.45318807865
GMB,2004,female,Y045_049,22981.600349208147
GMB,2004,female,Y050_054,16251.92328911997
GMB,2004,female,Y055_059,13699.0096875314
GMB,2004,female,Y060_064,12353.022097875013
GMB,2004,female,Y065_069,9909.46712409213
GMB,2004,female,Y070_074,7766.51516736374
GMB,2004,female,Y075_079,5462.367825712809
GMB,2004,female,Y080_999,5309.331529031241
GMB,2004,male,Y000_004,147999.99447273574
GMB,2004,male,Y005_009,121252.39530130589
GMB,2004,male,Y010_014,102070.11519215601
GMB,2004,male,Y015_019,85495.14922644367
GMB,2004,male,Y020_024,71208.86172772635
GMB,2004,male,Y025_029,59088.917848830126
GMB,2004,male,Y030_034,48836.17224683992
GMB,2004,male,Y035_039,39723.72876137952
GMB,2004,male,Y040_044,30958.68720828485
GMB,2004,male,Y045_049,22401.096265875443
GMB,2004,male,Y050_054,16317.225520114938
GMB,2004,male,Y055_059,13774.595762797078
GMB,2004,male,Y060_064,11766.875999334441
GMB,2004,male,Y065_069,8999.438175707368
GMB,2004,male,Y070_074,6799.0387802978385
GMB,2004,male,Y075_079,4618.467897144609
GMB,2004,male,Y080_999,4071.2635198981757
GMB,2005,female,Y000_004,149051.99999999997
GMB,2005,female,Y005_009,122746.99999999994
GMB,2005,female,Y010_014,104889.99999999997
GMB,2005,female,Y015_019,90287.00000000001
GMB,2005,female,Y020_024,77228.00000000006
GMB,2005,female,Y025_029,65637.00000000004
GMB,2005,female,Y030_034,55469.00000000003
GMB,2005,female,Y035_039,45473.99999999999
GMB,2005,female,Y040_044,34965.00000000002
GMB,2005,female,Y045_049,24332.99999999998
GMB,2005,female,Y050_054,16574.000000000004
GMB,2005,female,Y055_059,13663.000000000011
GMB,2005,female,Y060_064,12614
GMB,2005,female,Y065_069,10002.999999999993
GMB,2005,female,Y070_074,7866.000000000004
GMB,2005,female,Y075_079,5520.999999999997
GMB,2005,female,Y080_999,5367.999999999998
GMB,2005,male,Y000_004,152224.00000000003
GMB,2005,male,Y005_009,124668.99999999996
GMB,2005,male,Y010_014,105282.00000000001
GMB,2005,male,Y015_019,88383.00000000001
GMB,2005,male,Y020_024,73435.00000000003
GMB,2005,male,Y025_029,60675.99999999997
GMB,2005,male,Y030_034,50113
GMB,2005,male,Y035_039,40997
GMB,2005,male,Y040_044,32444
GMB,2005,male,Y045_049,23544
GMB,2005,male,Y050_054,16517.000000000004
GMB,2005,male,Y055_059,13779.999999999995
GMB,2005,male,Y060_064,12010.999999999995
GMB,2005,male,Y065_069,9049.999999999998
