iso3,year,kp,is_national,population_proportion
MWI,2016,FSW,0,0.017302501912254197
MWI,2016,FSW,0,0.01722248897065187
MWI,2016,FSW,0,0.013997681273698171
MWI,2016,FSW,0,0.004790907490246843
MWI,2016,FSW,0,0.007045365868904742
MWI,2017,FSW,1,0.007336976428003524
MWI,2018,FSW,0,0.02698879015600102
MWI,2018,FSW,0,0.016528903925196722
MWI,2018,FSW,0,0.0066741163260104555
MWI,2018,FSW,0,0.003562933791632798
MWI,2018,FSW,0,0.009073322199587683
MWI,2018,FSW,0,0.002175625974015848
MWI,2018,FSW,0,0.0106856721405599
MWI,2019,FSW,1,0.010109125918169861
MWI,2014,MSM,0,0.023839479359599864
MWI,2016,MSM,0,0.0036003290613799933
MWI,2016,MSM,0,0.0050683605819846845
MWI,2016,MSM,0,0.004873552319118983
MWI,2016,MSM,0,0.006003194135997236
MWI,2016,MSM,0,2.0944012945062427e-4
MWI,2016,MSM,0,2.9329537929674424e-4
MWI,2017,MSM,1,0.010339842811751827
MWI,2018,MSM,0,0.012249268922987335
MWI,2018,MSM,0,0.007296361880971413
MWI,2018,MSM,0,0.005159104590899521
MWI,2018,MSM,0,0.001040699798537375
MWI,2018,MSM,0,0.0016469310414318917
MWI,2018,MSM,0,0.0011081154717979597
MWI,2019,MSM,1,0.008155735646988294
MWI,2019,TG,0,4.54259117852797e-4
NGA,2007,FSW,0,0.03964328647073068
NGA,2007,FSW,0,0.005400421670972135
NGA,2007,FSW,0,0.013985911571013391
NGA,2007,FSW,0,0.017588841318080802
NGA,2013,FSW,0,0.18326250837062572
NGA,2013,FSW,0,0.03864806099449542
NGA,2013,FSW,0,0.0047439926853646425
NGA,2013,FSW,0,0.009303320151796983
NGA,2013,FSW,0,0.012216089724549815
NGA,2013,FSW,0,0.017209034067252684
NGA,2013,FSW,0,0.5185038748095285
NGA,2013,FSW,0,0.009409349838934026
NGA,2013,FSW,0,0.016522965658171566
NGA,2013,FSW,1,0.00472894823152994
NGA,2013,FSW,0,0.047585174062673326
NGA,2015,FSW,0,0.002297849585426883
NGA,2015,FSW,0,0.004986198042817885
NGA,2015,FSW,0,0.011573005569560037
