"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"58","CIV",2014,"FSW",0.0038683521414361,32,-5.55105081229961
"59","CIV",2015,"FSW",0.00288279682448247,35,-5.84610737636751
"60","CIV",2016,"FSW",0.00432133318739314,37,-5.4398606190091
"61","CIV",2019,"FSW",0.00819563385147481,40,-4.79592432096494
"62","CIV",2014,"MSM",0.00237742526394547,33,-6.03935694293548
"63","CIV",2014,"MSM",0.00804485003642945,33,-4.8146457548549
"64","CIV",2014,"MSM",0.0141669405363162,33,-4.24257591032851
"65","CIV",2014,"MSM",0.022661205218555,33,-3.76417892119924
"66","CIV",2014,"MSM",0.0337753623471959,33,-3.3536647392773
"67","CIV",2014,"MSM",0.00094177029294785,33,-6.96680694946086
"68","CIV",2014,"MSM",0.00142637445825649,33,-6.55119200531523
"69","CIV",2014,"MSM",0.0011132580283818,33,-6.79935052396691
"70","CIV",2014,"MSM",0.000770686058067864,33,-7.16745847211466
"71","CIV",2014,"MSM",0.0143003901698352,33,-4.23306483134361
"72","CIV",2014,"MSM",0.00676274609016836,33,-4.98954052797785
"73","CIV",2014,"MSM",0.0115952917337678,33,-4.44549310692753
"74","CIV",2014,"MSM",0.0171625150757437,33,-4.04771613136268
"75","CIV",2014,"MSM",0.00331019849253305,33,-5.70743143453844
"76","CIV",2014,"MSM",0.00209601591294261,33,-6.16561870487079
"77","CIV",2014,"MSM",0.0036824296483199,33,-5.60049328765245
"78","CIV",2014,"MSM",0.0149028898208136,33,-4.19118508347532
"79","CIV",2014,"MSM",0.00604298805828133,33,-5.10279535692458
"80","CIV",2014,"MSM",0.00873400617798473,33,-4.73175874541023
"81","CIV",2014,"MSM",0.0153201731137018,33,-4.16314607538727
"82","CIV",2014,"MSM",0.0249618264632516,33,-3.66512890614173
"83","CIV",2014,"MSM",0.0058855491305534,33,-5.12935229518444
"84","CIV",2014,"MSM",0.0145364190837538,33,-4.21645500955335
"85","CIV",2015,"MSM",0.0198016782976194,36,-3.90198822366044
"86","CIV",2015,"MSM",0.00792785052712673,36,-4.82941389290689
"87","CIV",2015,"MSM",0.0140594742527359,36,-4.25029954150505
"88","CIV",2015,"MSM",0.0218752487194141,36,-3.80028141723726
"89","CIV",2015,"MSM",0.0329424265223394,36,-3.37949664496797
"90","CIV",2017,"MSM",0.00499391558013522,38,-5.2945285646781
"91","CIV",2018,"MSM",0.000659004089795073,39,-7.32412159609026
"92","CIV",2018,"MSM",0.00833070185737463,39,-4.77944197368035
