iso3,year,kp,is_national,logit_proportion,population_proportion
KEN,2020,MSM,0,-5.47186108864649,0.004185807339419363
KEN,2020,MSM,0,-4.343147706807233,0.012828839626822462
KEN,2020,MSM,0,-5.790267851757943,0.003047845439291672
KEN,2020,PWID,0,-6.846268006459368,0.0010622873074863843
KEN,2020,PWID,0,-7.281887192178354,6.874133024810018e-4
KEN,2020,PWID,0,-6.627275107997563,0.0013220152555270652
KEN,2020,PWID,0,-4.2656188511545645,0.013848694189529099
KEN,2020,PWID,0,-7.105538999081806,8.19874555981749e-4
KEN,2020,PWID,0,-4.940637344323247,0.007099279749131855
KEN,2020,PWID,0,-1.7434861303711784,0.14887067232554513
KEN,2020,PWID,0,-4.816823471829583,0.00802749017610168
KEN,2020,PWID,0,-6.080078639993591,0.0022827737389777285
KEN,2020,PWID,0,-5.2320744012151605,0.005314041551062507
KEN,2020,PWID,0,-5.882202417657859,0.0027808818943906052
KEN,2012,FSW,0,-3.709896760964874,0.02389509725203594
KEN,2012,FSW,0,-5.157410505810532,0.005723638427825182
KEN,2012,FSW,0,-3.999289154397307,0.01799876972204935
KEN,2012,FSW,0,-4.99288988006673,0.0067402855804795615
KEN,2012,FSW,0,-4.617204992112789,0.009783706552864365
KEN,2012,FSW,0,-5.3390862624738835,0.0047773225143072535
KEN,2012,FSW,0,-4.447737231403308,0.011569600349685035
KEN,2012,FSW,0,-3.123710597885555,0.042139742607928105
KEN,2012,FSW,0,-3.757124277328571,0.022817976448129877
KEN,2012,FSW,0,-3.805324023093471,0.02176761321937506
KEN,2012,FSW,0,-3.3271746728875966,0.03465061317775512
KEN,2012,FSW,0,-2.8683216160406624,0.05374194021526498
KEN,2012,FSW,0,-5.315963726600757,0.004888527030809964
KEN,2012,FSW,0,-2.955299338550559,0.049486646815003525
KEN,2012,FSW,0,-3.3189052762950855,0.03492829103135187
KEN,2012,FSW,0,-3.9510037374504763,0.01887236755421009
KEN,2012,FSW,0,-4.335800022225768,0.012922226484016504
KEN,2012,FSW,0,-2.8349483460411724,0.05546459166695331
KEN,2012,FSW,0,-3.6701811280753085,0.02483915644785814
KEN,2012,FSW,0,-4.290257084090299,0.013516211380488365
KEN,2012,FSW,0,-3.649646272880415,0.025341438554697476
KEN,2012,FSW,0,-2.012683373468858,0.11787766763492584
KEN,2012,FSW,0,-3.586229280416186,0.026955845630845306
KEN,2012,FSW,0,-2.45927722559909,0.07876276513256258
KEN,2012,FSW,0,-3.2968112101629123,0.03568074566983855
KEN,2012,FSW,0,-3.2179360411710745,0.03849630885475238
KEN,2012,FSW,0,-5.19042686534187,0.005538779877834784
KEN,2012,FSW,0,-4.354879159907254,0.01268111542011606
KEN,2012,FSW,0,-4.978276504146097,0.006838828563480394
KEN,2012,FSW,0,-5.526408847984855,0.003964477522820229
KEN,2012,FSW,0,-6.564831155266076,0.0014070791819076897
KEN,2012,FSW,0,-5.889875419148966,0.0027596844966501595
KEN,2012,FSW,0,-5.255820014291051,0.005189989945880827
KEN,2012,FSW,0,-6.402609882288513,0.0016544846025342676
KEN,2012,FSW,0,-6.189049780149642,0.0020475743023362675
KEN,2012,FSW,0,-4.3727427955643,0.01245939330878992
KEN,2012,FSW,0,-5.830254276227445,0.0029287273533741107
KEN,2012,FSW,0,-3.845729560619159,0.02092364935362651
KEN,2012,FSW,0,-5.712470079452917,0.003293616322594131
