iso3,X,year,kp,value,denominator,provincial_value,ratio,x,region,log_kp_prev,log_gen_prev,log_gen_prev2,logit_kp_prev,logit_gen_prev,logit_gen_prev2,positive,negative
BWA,3,2018,MSM,0.148,736,0.166660458386735,0.888033078947656,NA,ESA,-1.9105430052180221,-1.7917967196014317,-1.7917967196014317,-1.7503742530652007,-1.6094826127156443,-1.6094826127156443,109,627
BWA,4,2018,MSM,0.058,181,0.183492287180506,0.316089580064714,NA,ESA,-2.8473122684357177,-1.695582644084733,-1.695582644084733,-2.7875622640299436,-1.4928637236650641,-1.4928637236650641,10,171
BWA,5,2018,MSM,0.106,101,0.159621368969493,0.664071487948828,NA,ESA,-2.24431618487007,-1.8349507121427031,-1.8349507121427031,-2.132266681061447,-1.6610479746669022,-1.6610479746669022,11,90
BWA,6,2013,FSW,0.619,947,0.273984762363221,2.25924972856481,NA,ESA,-0.47965000629754095,-1.294682785953523,-1.294682785953523,0.48530589755789505,-0.9744985100563389,-0.9744985100563389,586,361
BWA,7,2018,FSW,0.402,268,0.283977996696193,1.4156026335733,NA,ESA,-0.9113031903631159,-1.2588585202442397,-1.2588585202442397,-0.3971386653316105,-0.9248141386218034,-0.9248141386218034,108,160
BWA,8,2018,FSW,0.283,260,0.250839445089634,1.12821171287026,NA,ESA,-1.2623083813388996,-1.3829422055182075,-1.3829422055182075,-0.929628942956383,-1.0941402461075325,-1.0941402461075325,74,186
BWA,9,2018,FSW,0.422,1257,0.261264495096824,1.61522138644827,NA,ESA,-0.8627499649461253,-1.342221993618069,-1.342221993618069,-0.31456855463636585,-1.0394066620512914,-1.0394066620512914,530,727
BEN,4,2013,MSM,0.121,206,0.00823678139433255,14.6902041230882,NA,WCA,-2.111964733385396,-4.799145618851645,-4.799145618851645,-1.9829943520884359,-4.790874727741463,-4.790874727741463,25,181
BEN,5,2013,MSM,0.206,63,0.00823678139433255,25.0097690029435,NA,WCA,-1.579879110192556,-4.799145618851645,-4.799145618851645,-1.3492072924575549,-4.790874727741463,-4.790874727741463,13,50
BEN,6,2013,MSM,0.084,143,0.00297478683360656,28.2373173939863,NA,WCA,-2.4769384801388235,-5.817582895120935,-5.817582895120935,-2.3891995658308165,-5.814603674814369,-5.814603674814369,12,131
BEN,7,2015,MSM,0.059,238,0.00278489157485549,21.1857440098226,NA,WCA,-2.8302178350764176,-5.883546338190021,-5.883546338190021,-2.7694056956796604,-5.880757561590031,-5.880757561590031,14,224
BEN,8,2015,MSM,0.071,364,0.00771098717053047,9.2076407896702,NA,WCA,-2.645075401940822,-4.865109061920732,-4.865109061920732,-2.571428861772523,-4.857368191369263,-4.857368191369263,26,338
BEN,9,2015,MSM,0.095,126,0.00771098717053047,12.3200827467418,NA,WCA,-2.353878387381596,-4.865109061920732,-4.865109061920732,-2.2540580520993854,-4.857368191369263,-4.857368191369263,12,114
BEN,10,2017,MSM,0.102,167,0.00256689451597316,39.7367322129051,NA,WCA,-2.282782465697866,-5.965058470273575,-5.965058470273575,-2.1751972550179284,-5.962488275635287,-5.962488275635287,17,150
BEN,11,2017,MSM,0.042,189,0.00710738287245569,5.90934817410343,NA,WCA,-3.170085660698769,-4.946621194004285,-4.946621194004285,-3.1271781596874924,-4.93948843336837,-4.93948843336837,8,181
BEN,12,2017,MSM,0.07,359,0.00710738287245569,9.84891362350571,NA,WCA,-2.659260036932778,-4.946621194004285,-4.946621194004285,-2.5866893440979424,-4.93948843336837,-4.93948843336837,25,334
