iso3,year,age,sex,totpop,hivpop,artpop,infections
BWA,2022,25,male,21718.89648,1091.09549,810.97443,59.8197
BWA,2022,26,female,21561.86133,2730.20137,2611.86354,112.41153
BWA,2022,26,male,21952.86133,1187.18703,879.07432,63.02225
BWA,2022,27,female,22062.72461,3048.02465,2927.38784,109.45537
BWA,2022,27,male,22444.9043,1304.72202,964.7874,66.09739
BWA,2022,28,female,22462.01367,3373.88272,3251.21968,106.00906
BWA,2022,28,male,22830.44727,1438.31224,1066.74752,67.84789
BWA,2022,29,female,22359.125,3637.35885,3515.21995,100.27633
BWA,2022,29,male,22710.47656,1560.84534,1165.64121,67.19815
BWA,2022,30,female,22106.69531,3889.93828,3769.24466,93.47695
BWA,2022,30,male,22435.57812,1691.21822,1275.65547,65.45511
BWA,2022,31,female,21842.38477,4154.68356,4035.66768,86.27671
BWA,2022,31,male,22136.49609,1837.95525,1403.29385,63.25805
BWA,2022,32,female,21827.02734,4493.77682,4374.91072,80.28404
BWA,2022,32,male,22085.68359,2031.83575,1573.68803,61.43902
BWA,2022,33,female,21789.72852,4866.07421,4747.15211,74.52842
BWA,2022,33,male,22011.08789,2256.54842,1775.58149,59.31887
BWA,2022,34,female,21786.60352,5272.52843,5153.14456,69.20209
BWA,2022,34,male,21972.31445,2514.09649,2010.09382,57.09332
BWA,2022,35,female,21720.74023,5693.13755,5574.45747,63.74793
BWA,2022,35,male,21873.13086,2801.44524,2278.84394,54.4056
BWA,2022,36,female,21595.12109,6100.54257,5982.76979,58.28799
BWA,2022,36,male,21621.01367,3086.86967,2552.63946,51.15698
BWA,2022,37,female,21224.58398,6432.44986,6316.64235,52.61243
BWA,2022,37,male,21120.29688,3345.42339,2808.16056,47.37907
BWA,2022,38,female,20815.84375,6740.55917,6626.75912,47.36454
BWA,2022,38,male,20592.24414,3601.54208,3064.25225,43.70746
BWA,2022,39,female,20382.84766,7029.89869,6918.15759,42.53328
BWA,2022,39,male,20062.7168,3855.58337,3320.3538,40.2014
BWA,2022,40,female,19951.65625,7312.53815,7202.81952,38.07877
BWA,2022,40,male,19562.08984,4110.95212,3578.8206,36.85889
BWA,2022,41,female,19367.78516,7525.7654,7418.89508,33.70372
BWA,2022,41,male,18959.58203,4336.0845,3811.50146,33.45236
BWA,2022,42,female,18506.13867,7595.52206,7493.05874,29.33447
BWA,2022,42,male,18135.93945,4491.24887,3982.28658,29.90527
BWA,2022,43,female,17481.39258,7534.54721,7437.53988,25.27148
