area_id,year,sex,age_group,population
BDI_1_2,2022,male,Y015_039,281116.2617521802
BDI_1_2,2022,male,Y015_049,334981.43142016703
BDI_1_3,2022,female,Y015_029,98581.95703353391
BDI_1_3,2022,female,Y015_039,142344.0153121792
BDI_1_3,2022,female,Y015_049,173525.69029659228
BDI_1_3,2022,male,Y015_029,102298.61945512968
BDI_1_3,2022,male,Y015_039,146692.43556285897
BDI_1_3,2022,male,Y015_049,175721.3194510375
BDI_1_4,2022,female,Y015_029,61877.0780642124
BDI_1_4,2022,female,Y015_039,94834.54692014046
BDI_1_4,2022,female,Y015_049,115863.84743553777
BDI_1_4,2022,male,Y015_029,60984.94950920423
BDI_1_4,2022,male,Y015_039,89768.6577585361
BDI_1_4,2022,male,Y015_049,107302.180849021
BDI_1_5,2022,female,Y015_029,46724.037355455366
BDI_1_5,2022,female,Y015_039,71160.59964772602
BDI_1_5,2022,female,Y015_049,86613.01697107163
BDI_1_5,2022,male,Y015_029,45173.90572043198
BDI_1_5,2022,male,Y015_039,67836.12383886217
BDI_1_5,2022,male,Y015_049,82047.70163661224
BDI_1_6,2022,female,Y015_029,78096.46783392702
BDI_1_6,2022,female,Y015_039,120562.04172147531
BDI_1_6,2022,female,Y015_049,145032.46888687287
BDI_1_6,2022,male,Y015_029,77609.08196679897
BDI_1_6,2022,male,Y015_039,118668.9492595193
BDI_1_6,2022,male,Y015_049,142816.24046362238
BDI_1_7,2022,female,Y015_029,132260.0958095199
BDI_1_7,2022,female,Y015_039,204767.7265865413
BDI_1_7,2022,female,Y015_049,250485.93630870432
BDI_1_7,2022,male,Y015_029,123148.28523133279
BDI_1_7,2022,male,Y015_039,187225.84595224296
BDI_1_7,2022,male,Y015_049,226278.4914686742
BDI_1_8,2022,female,Y015_029,74575.43453190167
BDI_1_8,2022,female,Y015_039,113014.32131139582
BDI_1_8,2022,female,Y015_049,136300.53228910454
BDI_1_8,2022,male,Y015_029,69135.54054856172
BDI_1_8,2022,male,Y015_039,102236.75806257171
BDI_1_8,2022,male,Y015_049,121843.34514504093
BDI_1_9,2022,female,Y015_029,124661.01310429513
BDI_1_9,2022,female,Y015_039,193344.27309584833
BDI_1_9,2022,female,Y015_049,237391.69992587462
BDI_1_9,2022,male,Y015_029,115616.28637701052
BDI_1_9,2022,male,Y015_039,175616.52543750714
BDI_1_9,2022,male,Y015_049,213674.57717813225
BDI_2_1,2022,female,Y015_029,23634.698899529292
BDI_2_1,2022,female,Y015_039,36686.27252180201
BDI_2_1,2022,female,Y015_049,44046.37631707024
BDI_2_1,2022,male,Y015_029,24105.396003467828
BDI_2_1,2022,male,Y015_039,37240.62563145929
BDI_2_1,2022,male,Y015_049,44750.973030409485
BDI_2_10lj,2022,female,Y015_029,19578.11238753655
BDI_2_10lj,2022,female,Y015_039,30082.02238689495
BDI_2_10lj,2022,female,Y015_049,36820.85050949914
BDI_2_10lj,2022,male,Y015_029,18605.2765190743
BDI_2_10lj,2022,male,Y015_039,26986.112292901747
BDI_2_10lj,2022,male,Y015_049,32170.158637905944
BDI_2_11,2022,female,Y015_029,26428.548467003435
BDI_2_11,2022,female,Y015_039,40549.147699696914
BDI_2_11,2022,female,Y015_049,49212.870853124725
BDI_2_11,2022,male,Y015_029,25887.63339534919
BDI_2_11,2022,male,Y015_039,39272.91774197297
BDI_2_11,2022,male,Y015_049,47338.09161013537
BDI_2_12,2022,female,Y015_029,20303.119718750415
BDI_2_12,2022,female,Y015_039,30623.390704298312
BDI_2_12,2022,female,Y015_049,37414.09277005493
BDI_2_12,2022,male,Y015_029,19293.400638499526
BDI_2_12,2022,male,Y015_039,28574.395492858937
BDI_2_12,2022,male,Y015_049,34722.61624598591
BDI_2_13,2022,female,Y015_029,23503.57780590397
BDI_2_13,2022,female,Y015_039,35992.018916020344
BDI_2_13,2022,female,Y015_049,43084.59681366863
BDI_2_13,2022,male,Y015_029,24154.77868080109
BDI_2_13,2022,male,Y015_039,36334.465369984035
BDI_2_13,2022,male,Y015_049,43045.211293909524
BDI_2_14,2022,female,Y015_029,27973.09244280097
BDI_2_14,2022,female,Y015_039,43902.24337125548
BDI_2_14,2022,female,Y015_049,53010.67925823041
BDI_2_14,2022,male,Y015_029,26875.008767683546
BDI_2_14,2022,male,Y015_039,42365.5594682406
BDI_2_14,2022,male,Y015_049,51983.7251852806
BDI_2_15,2022,female,Y015_029,26650.44211088796
BDI_2_15,2022,female,Y015_039,40716.143239120895
BDI_2_15,2022,female,Y015_049,48995.228798118376
BDI_2_15,2022,male,Y015_029,26608.759431004808
BDI_2_15,2022,male,Y015_039,40016.74243374925
BDI_2_15,2022,male,Y015_049,47846.059667768066
BDI_2_16,2022,female,Y015_029,46831.0673216759
BDI_2_16,2022,female,Y015_039,72624.59031085558
BDI_2_16,2022,female,Y015_049,88647.41385266678
