"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"231","COG",2017,"PWID",0.000965745110227273,68,-6.94164440787509
"232","GMB",2018,"FSW",0.0163895684187693,87,-4.09458485537317
"233","GMB",2018,"MSM",0.00503101944910854,88,-5.28708892399177
"234","KEN",1997,"FSW",0.00657376483346894,89,-5.01807310940479
"235","KEN",2004,"FSW",0.0124908982210024,90,-4.37018547696012
"236","KEN",2010,"FSW",0.013373672156818,91,-4.30100336401274
"237","KEN",2010,"FSW",0.00519785984476763,91,-5.25429689071317
"238","KEN",2010,"FSW",0.0272188339543832,91,-3.57624999198281
"239","KEN",2012,"FSW",0.0121224189596436,96,-4.40050223938539
"240","KEN",2013,"FSW",0.0245074384439208,99,-3.68396585334478
"241","KEN",2019,"FSW",0.0123105743049341,104,-4.3849097092317
"242","KEN",2010,"MSM",0.00932420162940881,92,-4.66577398914777
"243","KEN",2011,"MSM",0.00814372696046547,94,-4.80233027795831
"244","KEN",2011,"MSM",0.0143105713270224,94,-4.23234280613338
"245","KEN",2012,"MSM",0.00169528801250616,97,-6.37820590706223
"246","KEN",2013,"MSM",0.00835992805290114,100,-4.77591038980013
"247","KEN",2013,"MSM",0.00115703772893837,100,-6.76073451440718
"248","KEN",2013,"MSM",0.00757102703577354,100,-4.87582671615707
"249","KEN",2018,"MSM",0.00650292873103985,102,-5.02897846466545
"250","KEN",2018,"MSM",0.00297374251875267,102,-5.81495583923592
"251","KEN",2018,"MSM",8.51877670910813e-05,102,-9.37056752178482
"252","KEN",2018,"MSM",0.000565700035102679,102,-7.47688073345967
"253","KEN",2018,"MSM",0.009115388975732,102,-4.6886340091789
"254","KEN",2018,"MSM",0.00399380670844876,102,-5.51900863738798
"255","KEN",2018,"MSM",0.00780920858330883,102,-4.84461179389526
"256","KEN",2018,"MSM",0.000794700711835574,102,-7.13674996063603
"257","KEN",2018,"MSM",0.000175571593301696,102,-8.64728807219406
"258","KEN",2018,"MSM",0.00137277778993225,102,-6.58954528711126
"259","KEN",2018,"MSM",0.00657771997881593,102,-5.01746765295723
"260","KEN",2018,"MSM",0.000128650796669667,102,-8.9582801676475
"261","KEN",2018,"MSM",0.00101687476020799,102,-6.89000392367556
"262","KEN",2018,"MSM",0.00839518544100889,102,-4.77166627574852
"263","KEN",2018,"MSM",0.00230846902224004,102,-6.068859597462
"264","KEN",2018,"MSM",0.000605566342679372,102,-7.40874068443087
"265","KEN",2018,"MSM",0.00303530898489484,102,-5.79440212756054
"266","KEN",2018,"MSM",0.000487545360202153,102,-7.62563956103733
"267","KEN",2018,"MSM",0.00188253245562921,102,-6.2732530510859
"268","KEN",2018,"MSM",0.000982741448426527,102,-6.92418127072216
"269","KEN",2018,"MSM",0.00347450758722327,102,-5.65882195381757
"270","KEN",2018,"MSM",0.000210918528947691,102,-8.46382767700717
"271","KEN",2018,"MSM",0.00148400237777156,102,-6.51152742736639
"272","KEN",2018,"MSM",0.0040095205176021,102,-5.51506603628738
"273","KEN",2018,"MSM",0.00287784892779511,102,-5.84783016607725
"274","KEN",2018,"MSM",0.00136124418024045,102,-6.59799398751695
"275","KEN",2018,"MSM",0.00376897540398324,102,-5.57717599470311
"276","KEN",2019,"MSM",0.00241396068479618,105,-6.02406956378547
"277","KEN",2010,"PWID",0.00274096068508248,93,-5.8967020810435
"278","KEN",2011,"PWID",0.0123130790953686,95,-4.38470372733622
"279","KEN",2012,"PWID",0.000866942772773528,98,-7.04967027060546
"280","KEN",2013,"PWID",0.00241928827933162,101,-6.02185966203321
"281","KEN",2013,"PWID",0.00246246863342482,101,-6.00412541719887
"282","KEN",2018,"PWID",0.000164071231279203,103,-8.71504580267637
"283","KEN",2018,"PWID",0.000125416623174005,103,-8.9837439528662
"284","KEN",2018,"PWID",0.00109832293172804,103,-6.81287194356409
"285","KEN",2018,"PWID",0.0064573970369155,103,-5.03605064163437
"286","KEN",2018,"PWID",5.24323165258475e-05,103,-9.85593499545193
"287","KEN",2018,"PWID",0.000815267787485232,103,-7.11117832479138
"288","KEN",2018,"PWID",0.00480512178468837,103,-5.33325618797416
"289","KEN",2018,"PWID",8.30769588375228e-05,103,-9.39566008444605
"290","KEN",2018,"PWID",8.68001964048759e-05,103,-9.35181486960779
"291","KEN",2018,"PWID",0.000396694318712092,103,-7.8319477788949
"292","KEN",2018,"PWID",0.00378959722718188,103,-5.57169874210317
"293","KEN",2018,"PWID",0.00167837995168012,103,-6.38824647528414
"294","KEN",2018,"PWID",0.000233810493715408,103,-8.36076578880245
"295","KEN",2019,"PWID",0.000589460634742813,106,-7.43571298314747
"296","KEN",2019,"PWID",0.000593144763709955,106,-7.42947874708815
"297","LSO",2014,"FSW",0.0926561396384846,107,-2.28162627909195
"298","LSO",2014,"FSW",0.0115258588559012,107,-4.45156937535058
"299","LSO",2014,"FSW",0.0113765417454916,107,-4.46476003563598
"300","LSO",2016,"FSW",0.0124998624434513,109,-4.36945899634923
"301","LSO",2018,"FSW",0.0475576555826527,111,-2.99708679765448
"302","LSO",2014,"MSM",0.154009187883979,108,-1.70349623694606
"303","LSO",2014,"MSM",0.0190501377073304,108,-3.94144701920739
"304","LSO",2014,"MSM",0.0193326924430363,108,-3.92643569418744
"305","LSO",2016,"MSM",0.0202214652593573,110,-3.88058188435725
"306","LSO",2018,"MSM",0.0394009247029718,112,-3.19376784095259
"307","MLI",2014,"FSW",0.010560453631321,113,-4.54002243317913
"308","MLI",2015,"FSW",0.00934685042383671,115,-4.66332503915059
"309","MLI",2015,"FSW",0.00765053439617692,115,-4.86529982801425
"310","MLI",2015,"FSW",0.00609482434134775,115,-5.09420186298983
"311","MLI",2015,"FSW",0.00510072110188061,115,-5.27325958253579
"312","MLI",2015,"FSW",0.00476854232656668,115,-5.34093466460111
"313","MLI",2015,"FSW",0.00648528552748792,115,-5.03171302691435
"314","MLI",2015,"FSW",0.0393453946288136,115,-3.19523600078433
"315","MLI",2015,"FSW",0.00553787968017479,115,-5.19059031010865
"316","MLI",2015,"FSW",0.00691118276768984,115,-4.9676793127106
"317","MLI",2015,"FSW",0.0131813185123637,115,-4.31568575291275
"318","MLI",2015,"FSW",0.00227003155119888,115,-6.0856889364002
"319","MLI",2015,"FSW",0.00195906374573153,115,-6.23332761539367
"320","MLI",2015,"FSW",0.00241503982910887,115,-6.02362153888748
"321","MLI",2015,"FSW",0.0130487258136065,115,-4.32593018042493
"322","MLI",2015,"FSW",0.00226549623279878,115,-6.08769339036303
"323","MLI",2019,"FSW",0.00634259516276917,119,-5.05410446774212
"324","MLI",2019,"FSW",0.00527819024210618,119,-5.23887982809687
"325","MLI",2019,"FSW",0.00254038261903173,119,-5.97289695701608
"326","MLI",2019,"FSW",0.0020544819466184,119,-6.18567496162827
"327","MLI",2019,"FSW",0.0172773687560282,119,-4.04092943404193
"328","MLI",2019,"FSW",0.00192013461470754,119,-6.25343800313695
"329","MLI",2019,"FSW",0.0133495172038342,119,-4.30283563625852
"330","MLI",2014,"MSM",0.00622375222554753,114,-5.07313910191085
"331","MLI",2015,"MSM",0.00294431467167634,116,-5.82493054037473
"332","MLI",2015,"MSM",0.00264129042894017,116,-5.93384289761523
"333","MLI",2015,"MSM",0.00293866396011124,116,-5.82685724594397
"334","MLI",2015,"MSM",0.00149814466669771,116,-6.50202855731305
"335","MLI",2015,"MSM",0.00202589218122679,116,-6.1997171450535
"336","MLI",2015,"MSM",0.00452990603298824,116,-5.39251388582444
"337","MLI",2015,"MSM",0.0321697671311842,116,-3.40402959009828
"338","MLI",2015,"MSM",0.00258401954262982,116,-5.95582176626954
"339","MLI",2015,"MSM",0.00244596125535632,116,-6.01086812433872
"340","MLI",2015,"MSM",0.00206127781583354,116,-6.18236578436536
"341","MLI",2019,"MSM",0.00146165818711299,120,-6.52672101568242
"342","MLI",2019,"MSM",0.000887934727082256,120,-7.02572399403713
"343","MLI",2019,"MSM",0.000993025768900376,120,-6.91376042455592
"344","MLI",2019,"MSM",0.000663057373943063,120,-7.31798575736144
"345","MLI",2019,"MSM",0.000525637076495554,120,-7.55037377673201
"346","MLI",2019,"MSM",0.0060857299826605,120,-5.09570427194249
"347","MLI",2019,"MSM",0.000760613393425875,120,-7.18062445079168
"348","MLI",2019,"MSM",0.00280555097067676,120,-5.87334584090728
